title,address,city,state,postalCode,phone,phoneUnformatted,website,totalScore,reviewsCount,url,categoryName,categories,searchString,placeId
Coppertop Construction & Roofing,"2718 S Combee Rd, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 537-1330,+18635371330,https://coppertopconstructionfl.com/,4.8,29,https://www.google.com/maps/search/?api=1&query=Coppertop%20Construction%20%26%20Roofing&query_place_id=ChIJzYQeJpA_3YgRgVBpVhyn-7o,Contractor,Contractor,roofing company,ChIJzYQeJpA_3YgRgVBpVhyn-7o
Lakeland Roofing Solutions,"304 E Pine St #1211, Lakeland, FL 33801",Lakeland,Florida,33801,(407) 490-2459,+14074902459,http://www.lakelandroofingsolutions.com/,5,2,https://www.google.com/maps/search/?api=1&query=Lakeland%20Roofing%20Solutions&query_place_id=ChIJSXkd8js53YgRmi0V6zBumGo,Roofing contractor,Roofing contractor,roofing company,ChIJSXkd8js53YgRmi0V6zBumGo
Harper Roofing Fl,"1420 Florida Ave S Ste 2, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 250-7663,+18632507663,https://harperroofingfl.com/,5,8,https://www.google.com/maps/search/?api=1&query=Harper%20Roofing%20Fl&query_place_id=ChIJ1_s_MlM53YgRK-TGtK_68xs,Roofing contractor,Roofing contractor,roofing company,ChIJ1_s_MlM53YgRK-TGtK_68xs
Springer Peterson Roofing,"4410 Maine Ave, Lakeland, FL 33801",Lakeland,Florida,33801,(800) 244-1163,+18002441163,https://springerpeterson.com/,3.6,38,https://www.google.com/maps/search/?api=1&query=Springer%20Peterson%20Roofing&query_place_id=ChIJB26b1Sw-3YgRo4-4u5mj9_o,Roofing contractor,Roofing contractor|Welder,roofing company,ChIJB26b1Sw-3YgRo4-4u5mj9_o
High Tower Roofing,"65 3rd St NW, Winter Haven, FL 33881",Winter Haven,Florida,33881,(863) 400-3196,+18634003196,https://www.hightowerroofing.com/,5,4,https://www.google.com/maps/search/?api=1&query=High%20Tower%20Roofing&query_place_id=ChIJxTSGZdQT3YgRgMxs5LEc0K8,Roofing contractor,Roofing contractor,roofing company,ChIJxTSGZdQT3YgRgMxs5LEc0K8
Polk County Gutters Company,"122 E Main St #121, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 343-2761,+18633432761,https://polkcountygutterscompany.com/,5,35,https://www.google.com/maps/search/?api=1&query=Polk%20County%20Gutters%20Company&query_place_id=ChIJE42Ry4c53YgRNqSRlQm2mB8,Roofing contractor,Roofing contractor|Gutter cleaning service|Gutter service|Sheet metal contractor|Waterproofing service,roofing company,ChIJE42Ry4c53YgRNqSRlQm2mB8
Quality Plus Roofing & Solar,"1012 W Beacon Rd Ste 102, Lakeland, FL 33803",Lakeland,Florida,33803,(813) 797-9590,+18137979590,https://qualityplusroofing-solar.com/,4.8,19,https://www.google.com/maps/search/?api=1&query=Quality%20Plus%20Roofing%20%26%20Solar&query_place_id=ChIJwRxCrbA53YgR3oxBOAlD_88,Roofing contractor,Roofing contractor,roofing company,ChIJwRxCrbA53YgR3oxBOAlD_88
Harrison Roofing Inc.,"6094 Topher Trail, Mulberry, FL 33860",Mulberry,Florida,33860,(863) 514-0385,+18635140385,,1,1,https://www.google.com/maps/search/?api=1&query=Harrison%20Roofing%20Inc.&query_place_id=ChIJFUHlXa873YgR13eXba5tNRU,Roofing contractor,Roofing contractor,roofing company,ChIJFUHlXa873YgR13eXba5tNRU
Veterans Roofing & Property Maintenance,"2770 Recker Hwy, Winter Haven, FL 33880",Winter Haven,Florida,33880,(844) 824-0856,+18448240856,https://www.vetroofpm.com/,5,7,https://www.google.com/maps/search/?api=1&query=Veterans%20Roofing%20%26%20Property%20Maintenance&query_place_id=ChIJpY4zLKoT3YgRIyp5Ib9jCFc,Construction company,Construction company,roofing company,ChIJpY4zLKoT3YgRIyp5Ib9jCFc
S & S Roofing of Central Florida Inc,"4749 US-92 E, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 209-2646,+18632092646,,3.3,12,https://www.google.com/maps/search/?api=1&query=S%20%26%20S%20Roofing%20of%20Central%20Florida%20Inc&query_place_id=ChIJi-ML0WGf3YgRFOSyxSJHEGw,Roofing contractor,Roofing contractor,roofing company,ChIJi-ML0WGf3YgRFOSyxSJHEGw
Color Verse Roofers,"511 Ave F NW, Winter Haven, FL 33881",Winter Haven,Florida,33881,(863) 509-5237,+18635095237,https://sites.google.com/view/colorverseroofers/home,5,7,https://www.google.com/maps/search/?api=1&query=Color%20Verse%20Roofers&query_place_id=ChIJM9koP4kT3YgRH11ydk7fySI,Roofing contractor,Roofing contractor,roofing company,ChIJM9koP4kT3YgRH11ydk7fySI
Haverty's Roof Cleaning,"2406 Fairmount Ave, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 944-6814,+18639446814,http://www.havertysroofcleaning.com/,4.7,26,https://www.google.com/maps/search/?api=1&query=Haverty's%20Roof%20Cleaning&query_place_id=ChIJA8Fl7NU-3YgR7KizR_Ko0pY,Roofing contractor,Roofing contractor,roofing company,ChIJA8Fl7NU-3YgR7KizR_Ko0pY
Lakeland Roofing Guys,"1637 Shepherd Rd, Lakeland, FL 33811",Lakeland,Florida,33811,(863) 591-8826,+18635918826,http://www.roofing-lakeland.com/,5,1,https://www.google.com/maps/search/?api=1&query=Lakeland%20Roofing%20Guys&query_place_id=ChIJR-NoNQE73YgROIJ07vVF9_Q,Roofing contractor,Roofing contractor,roofing company,ChIJR-NoNQE73YgROIJ07vVF9_Q
Complete Roofing and Construction,"4411 US-92, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 583-4963,+18635834963,https://www.owenscorning.com/en-us/roofing/contractors/contractor-profile/215587,5,2,https://www.google.com/maps/search/?api=1&query=Complete%20Roofing%20and%20Construction&query_place_id=ChIJ-X8mtPw_3YgRdT6IcLGbDqw,Roofing contractor,Roofing contractor,roofing company,ChIJ-X8mtPw_3YgRdT6IcLGbDqw
Bartow Roofing Experts,"510 E Main St, Bartow, FL 33830",Bartow,Florida,33830,(863) 312-7110,+18633127110,,5,6,https://www.google.com/maps/search/?api=1&query=Bartow%20Roofing%20Experts&query_place_id=ChIJH_M8icU83YgRwIKNc-ln7oc,Roofing contractor,Roofing contractor|Construction company|Siding contractor,roofing company,ChIJH_M8icU83YgRwIKNc-ln7oc
Integrity Homes & Construction Inc.,"207 E Bridgers Ave, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 551-1701,+18635511701,https://integrityhomesconstructionandroofing.com/,4.5,53,https://www.google.com/maps/search/?api=1&query=Integrity%20Homes%20%26%20Construction%20Inc.&query_place_id=ChIJzasVD1dr3YgR51DpRFjr51U,Roofing contractor,Roofing contractor|Bathroom remodeler|Construction company|Custom home builder|Kitchen remodeler|Remodeler|Home builder,roofing company,ChIJzasVD1dr3YgR51DpRFjr51U
DBR Construction LLC,"1725 George Jenkins Blvd Ste B, Lakeland, FL 33815",Lakeland,Florida,33815,(863) 602-4200,+18636024200,http://dbrconstructionllc.com/?utm_source=gmb&utm_medium=referral,4.9,110,https://www.google.com/maps/search/?api=1&query=DBR%20Construction%20LLC&query_place_id=ChIJDQPQUEw_3YgR_c2c1wjQeLA,Roofing contractor,Roofing contractor|Construction company|Excavating contractor|Fire damage restoration service|General contractor|Water damage restoration service,roofing company,ChIJDQPQUEw_3YgR_c2c1wjQeLA
Lakeland Roofing Consultants,"825 E Main St #210, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 279-4604,+18632794604,https://lakelandroofingconsultants.com/,5,1,https://www.google.com/maps/search/?api=1&query=Lakeland%20Roofing%20Consultants&query_place_id=ChIJxdmAYUk_3YgR0PV4BU56xAM,Roofing contractor,Roofing contractor,roofing company,ChIJxdmAYUk_3YgR0PV4BU56xAM
"Paradise Roofing & General Contracting, LLC","240 Old Bartow Eagle Lake Rd, Bartow, FL 33830",Bartow,Florida,33830,(863) 213-4028,+18632134028,https://www.anotherdayinparadisefl.com/contact-us,5,1,https://www.google.com/maps/search/?api=1&query=Paradise%20Roofing%20%26%20General%20Contracting%2C%20LLC&query_place_id=ChIJ0dXqX7YX3YgRMmRN8EvHDqs,,,roofing company,ChIJ0dXqX7YX3YgRMmRN8EvHDqs
"The Dantzler Group, Inc.","332 Ave B SW 300 31, Winter Haven, FL 33880",Winter Haven,Florida,33880,(863) 210-2803,+18632102803,https://dantzlergroup.com/,4.8,68,https://www.google.com/maps/search/?api=1&query=The%20Dantzler%20Group%2C%20Inc.&query_place_id=ChIJwR2G8AcT3YgRfHN1exQstGk,Roofing contractor,Roofing contractor|Bathroom remodeler|General contractor|Kitchen remodeler,roofing company,ChIJwR2G8AcT3YgRfHN1exQstGk
Roofing Contractors Lakeland,"2901 Brooks St, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 431-8550,+18634318550,,,,https://www.google.com/maps/search/?api=1&query=Roofing%20Contractors%20Lakeland&query_place_id=ChIJWXoQwpY_3YgRPNhCAAxwfTk,Roofing contractor,Roofing contractor|Sheet metal contractor|Siding contractor|Window installation service,roofing company,ChIJWXoQwpY_3YgRPNhCAAxwfTk
R F Lusa & Sons Sheet Metal,"1724 Fairbanks St, Lakeland, FL 33805",Lakeland,Florida,33805,(863) 682-0798,+18636820798,http://rflusa.com/,4.5,21,https://www.google.com/maps/search/?api=1&query=R%20F%20Lusa%20%26%20Sons%20Sheet%20Metal&query_place_id=ChIJwVXnImJH3YgRbywakrWGcqI,Roofing contractor,Roofing contractor,roofing company,ChIJwVXnImJH3YgRbywakrWGcqI
R.I.G. Roofing & Construction Inc,"355 5th St SW, Winter Haven, FL 33880",Winter Haven,Florida,33880,(863) 294-4477,+18632944477,,5,3,https://www.google.com/maps/search/?api=1&query=R.I.G.%20Roofing%20%26%20Construction%20Inc&query_place_id=ChIJT7Xl-50T3YgRahGuzcZdkr0,Roofing contractor,Roofing contractor|Contractor|Swimming pool repair service,roofing company,ChIJT7Xl-50T3YgRahGuzcZdkr0
ROOF REPAIR TECH LLC,"6237 Ashley Dr, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 437-4502,+18634374502,http://roofingcompany.lol/,,,https://www.google.com/maps/search/?api=1&query=ROOF%20REPAIR%20TECH%20LLC&query_place_id=ChIJ6y23hCw93YgRMDF96DHXUsQ,Roofing contractor,Roofing contractor,roofing company,ChIJ6y23hCw93YgRMDF96DHXUsQ
Florida First Roofing,"3187 US Hwy 98 N, Lakeland, FL 33805",Lakeland,Florida,33805,(863) 451-8515,+18634518515,,5,3,https://www.google.com/maps/search/?api=1&query=Florida%20First%20Roofing&query_place_id=ChIJ8xv1XdY7wokRHsSWd4l-Xds,Roofing contractor,Roofing contractor|Contractor,roofing company,ChIJ8xv1XdY7wokRHsSWd4l-Xds
BNF Roofing,"110 S Lake Ave #2, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 250-2567,+18632502567,https://bnfroofing.com/lakeland-fl/,5,1,https://www.google.com/maps/search/?api=1&query=BNF%20Roofing&query_place_id=ChIJcSWNhYs_3YgRHo3DtVHZTJI,Roofing contractor,Roofing contractor,roofing company,ChIJcSWNhYs_3YgRHo3DtVHZTJI
Weathertek Roofing and Concrete,"304 E Pine St, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 290-7643,+18632907643,https://weathertekroofingfl.com/,5,3,https://www.google.com/maps/search/?api=1&query=Weathertek%20Roofing%20and%20Concrete&query_place_id=ChIJg-aQNPU53YgRmsayXzXRunM,Roofing contractor,Roofing contractor|Concrete contractor,roofing company,ChIJg-aQNPU53YgRmsayXzXRunM
JDM Roof Restoration,"103 Oak Square N, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 604-9387,+18636049387,https://jdmroofrestoration.com/,5,94,https://www.google.com/maps/search/?api=1&query=JDM%20Roof%20Restoration&query_place_id=ChIJ87cJHHHaoi4RTIFADOT5aBo,Pressure washing service,Pressure washing service,roofing company,ChIJ87cJHHHaoi4RTIFADOT5aBo
Aura Edge Roofers,"105 N Kentucky Ave, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 867-1973,+18638671973,https://sites.google.com/view/aura-edge-roofers/home,5,3,https://www.google.com/maps/search/?api=1&query=Aura%20Edge%20Roofers&query_place_id=ChIJxxgW-2053YgR-NQcFEr5ixk,Roofing contractor,Roofing contractor,roofing company,ChIJxxgW-2053YgR-NQcFEr5ixk
KTM Exteriors,"3635 US-92, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 703-7004,+18637037004,https://ktmroofs.com/?utm_source=google&utm_medium=localpack&utm_campaign=gmb_traffic&utm_term=gmb_organic,5,16,https://www.google.com/maps/search/?api=1&query=KTM%20Exteriors&query_place_id=ChIJFfb_egg_3YgRG5qVVfik8S4,Roofing contractor,Roofing contractor|Siding contractor|Skylight contractor|Window installation service,roofing company,ChIJFfb_egg_3YgRG5qVVfik8S4
A.O. Wagner Construction,"3535 Lake Alfred Rd, Winter Haven, FL 33881",Winter Haven,Florida,33881,(863) 299-4444,+18632994444,https://aowagnerfl.com/,4.6,15,https://www.google.com/maps/search/?api=1&query=A.O.%20Wagner%20Construction&query_place_id=ChIJ__97TCht3YgRvuwkBhLXA6I,Roofing contractor,Roofing contractor|Contractor|General contractor|Metal construction company|Construction company|Steel erector,roofing company,ChIJ__97TCht3YgRvuwkBhLXA6I
Polk Roofing,"6000 Florida Ave S #7638, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 225-4599,+18632254599,,1,1,https://www.google.com/maps/search/?api=1&query=Polk%20Roofing&query_place_id=ChIJqetwO-E73YgR9586zpu_kG0,Roofing contractor,Roofing contractor,roofing company,ChIJqetwO-E73YgR9586zpu_kG0
DMAV Roofing Contractor Of Lakeland,"1712 Atlanta Ct, Lakeland, FL 33803",Lakeland,Florida,33803,(321) 966-2232,+13219662232,,4,4,https://www.google.com/maps/search/?api=1&query=DMAV%20Roofing%20Contractor%20Of%20Lakeland&query_place_id=ChIJ4eFVecQ_3YgRSflLm59jhjU,Roofing contractor,Roofing contractor,roofing company,ChIJ4eFVecQ_3YgRSflLm59jhjU
Rhodes Roof Cleaning,"3126 Panther Dr, Lakeland, FL 33812",Lakeland,Florida,33812,(863) 660-2569,+18636602569,http://www.rhodesroofcleaning.com/,4.6,15,https://www.google.com/maps/search/?api=1&query=Rhodes%20Roof%20Cleaning&query_place_id=ChIJNZQFWtE93YgRk6sY5Lm86eA,Pressure washing service,Pressure washing service,roofing company,ChIJNZQFWtE93YgRk6sY5Lm86eA
Valor Roofing Company,"500 Florida Ave S 4th floor ste 487, Lakeland, FL 33801",Lakeland,Florida,33801,(863) 282-2428,+18632822428,https://valorroofingcompany.com/locations/lakeland-fl/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=lakeland-fl,,,https://www.google.com/maps/search/?api=1&query=Valor%20Roofing%20Company&query_place_id=ChIJI_JcAzA53YgRsGlOBHQsRLg,Roofing contractor,Roofing contractor,roofing company,ChIJI_JcAzA53YgRsGlOBHQsRLg
florida state certified roofing,"6021 Florida Ave S, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 777-1027,+18637771027,,5,2,https://www.google.com/maps/search/?api=1&query=florida%20state%20certified%20roofing&query_place_id=ChIJqUvho2073YgRPJ0jN3Wl5mQ,Roofing contractor,Roofing contractor|Construction company|Roofing supply store,roofing company,ChIJqUvho2073YgRPJ0jN3Wl5mQ
Graham Aluminum & Home Improvement,"2225 E Main St, Lakeland, FL 33801",Lakeland,Florida,33801,(866) 863-4169,+18668634169,https://grahamaluminum.com/,3.9,121,https://www.google.com/maps/search/?api=1&query=Graham%20Aluminum%20%26%20Home%20Improvement&query_place_id=ChIJ5eZ0eJU_3YgRh11UOIgWiLU,Roofing contractor,Roofing contractor|Awning supplier|Carport and pergola builder|Deck builder|Gutter service|Patio enclosure supplier|Metal construction company|Siding contractor|Sunroom contractor|Window installation service,roofing company,ChIJ5eZ0eJU_3YgRh11UOIgWiLU
Highpoint Roofing,"1107 3rd St SW, Winter Haven, FL 33880",Winter Haven,Florida,33880,,,,,,https://www.google.com/maps/search/?api=1&query=Highpoint%20Roofing&query_place_id=ChIJswwtl_4S3YgRV-jKxFJohJI,Roofing contractor,Roofing contractor|Construction company|Roofing supply store|Sheet metal contractor|Skylight contractor,roofing company,ChIJswwtl_4S3YgRV-jKxFJohJI
"JAM Construction & Development, Inc.","Lakeland, FL 33801",Lakeland,Florida,,(800) 680-9785,+18006809785,https://www.builtbyjam.com/,4.9,55,https://www.google.com/maps/search/?api=1&query=JAM%20Construction%20%26%20Development%2C%20Inc.&query_place_id=ChIJXzS78xC_wogR86Y-7uZ8To0,Roofing contractor,Roofing contractor|Construction company,roofing company,ChIJXzS78xC_wogR86Y-7uZ8To0
Robert Peet Roofing & Remodeling,"116 N Pointe Dr, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 967-7530,+18639677530,,4,4,https://www.google.com/maps/search/?api=1&query=Robert%20Peet%20Roofing%20%26%20Remodeling&query_place_id=ChIJCcwSo41r3YgRtIWsHhF66gU,Roofing contractor,Roofing contractor,roofing company,ChIJCcwSo41r3YgRtIWsHhF66gU
Sharp Tone Roofers,"2610 Eaton Ave, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 281-4463,+18632814463,https://sites.google.com/view/sharptoneroofers/home,5,8,https://www.google.com/maps/search/?api=1&query=Sharp%20Tone%20Roofers&query_place_id=ChIJxxoRdLM_3YgRWxztj0dXJtE,Roofing contractor,Roofing contractor,roofing company,ChIJxxoRdLM_3YgRWxztj0dXJtE
Sharrett Construction,"124 W Main St, Lakeland, FL 33815",Lakeland,Florida,33815,(863) 840-9781,+18638409781,https://sharrettconstruction.com/,4.1,13,https://www.google.com/maps/search/?api=1&query=Sharrett%20Construction&query_place_id=ChIJL-6uJlA-3YgRdsp0e25ncio,Roofing contractor,Roofing contractor|Building restoration service|Carport and pergola builder|Construction company|Contractor|Home builder|General contractor,roofing company,ChIJL-6uJlA-3YgRdsp0e25ncio
Eagle Building Contractors,"16 Alabama Ln, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 965-0804,+18639650804,http://eaglebuildingco.com/,4.4,32,https://www.google.com/maps/search/?api=1&query=Eagle%20Building%20Contractors&query_place_id=ChIJT0HB6jNr3YgRjhE11pPzHH4,Roofing contractor,Roofing contractor|Custom home builder,roofing company,ChIJT0HB6jNr3YgRjhE11pPzHH4
QES services llc,"2050 Normandy Heights Dr, Winter Haven, FL 33880",Winter Haven,Florida,33880,(863) 326-0858,+18633260858,http://qesservices.com/,5,43,https://www.google.com/maps/search/?api=1&query=QES%20services%20llc&query_place_id=ChIJzaTsMd8T3YgRB1tHJnrKeiU,Roofing contractor,Roofing contractor|Carpenter|Demolition contractor|Insulation contractor|Painting|Handyman/Handywoman/Handyperson|Tile contractor,roofing company,ChIJzaTsMd8T3YgRB1tHJnrKeiU
T. GREGORY CONSTRUCTION | Construction Company Winter haven | Fencing Company | Roofing Expert,"2204 2nd St NE, Winter Haven, FL 33881",Winter Haven,Florida,33881,(863) 294-6003,+18632946003,https://tgcbuilds.com/,5,2,https://www.google.com/maps/search/?api=1&query=T.%20GREGORY%20CONSTRUCTION%20%7C%20Construction%20Company%20Winter%20haven%20%7C%20Fencing%20Company%20%7C%20Roofing%20Expert&query_place_id=ChIJq6rufNIS3YgRY6La6wfbdaM,Roofing contractor,Roofing contractor|Bathroom remodeler|Carpenter|Concrete contractor|Demolition contractor|Fence contractor|Home builder|Kitchen remodeler|Construction company|Woodworker,roofing company,ChIJq6rufNIS3YgRY6La6wfbdaM
Rodney Weeks Construction,"4250 Clubhouse Rd, Lakeland, FL 33812",Lakeland,Florida,33812,(863) 646-4373,+18636464373,,1,2,https://www.google.com/maps/search/?api=1&query=Rodney%20Weeks%20Construction&query_place_id=ChIJ521CtQk-3YgREPFebcjInBw,Roofing contractor,Roofing contractor,roofing company,ChIJ521CtQk-3YgREPFebcjInBw
Jack Hall Jr's Construction Aluminum,"3616 Waterfield Pkwy, Lakeland, FL 33803",Lakeland,Florida,33803,(863) 667-0068,+18636670068,http://www.jackhalljr.com/,4.6,279,https://www.google.com/maps/search/?api=1&query=Jack%20Hall%20Jr's%20Construction%20Aluminum&query_place_id=ChIJjyQqW0Q-3YgRz_uYzJQGs30,Roofing contractor,Roofing contractor|Construction company|Door supplier|Window installation service|Screen repair service|Shed builder|Siding contractor|Sunroom contractor,roofing company,ChIJjyQqW0Q-3YgRz_uYzJQGs30
Solar Energy Specialist Corp,"1130 1st St S, Winter Haven, FL 33880",Winter Haven,Florida,33880,(866) 407-2047,+18664072047,https://www.solarandenergyspecialists.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,4.8,86,https://www.google.com/maps/search/?api=1&query=Solar%20Energy%20Specialist%20Corp&query_place_id=ChIJQd6GY2Fj54gROAb4l8duCgk,Roofing contractor,Roofing contractor|Solar energy system service|Solar energy company|Solar energy equipment supplier,roofing company,ChIJQd6GY2Fj54gROAb4l8duCgk
DCC Builders,"209 E Bridgers Ave, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 207-4900,+18632074900,https://dccbuilders.com/,4.8,26,https://www.google.com/maps/search/?api=1&query=DCC%20Builders&query_place_id=ChIJVw5FlIZr3YgR-P7o_YpsyNU,Roofing contractor,Roofing contractor|Door supplier|Window installation service|Siding contractor|Window supplier,roofing company,ChIJVw5FlIZr3YgR-P7o_YpsyNU
Milco Construction Inc Of Florida,"4310 Wallace Rd, Lakeland, FL 33812",Lakeland,Florida,33812,(863) 709-0293,+18637090293,http://www.milcoconstruction.com/,5,2,https://www.google.com/maps/search/?api=1&query=Milco%20Construction%20Inc%20Of%20Florida&query_place_id=ChIJmSvWrwg-3YgRD1IMYkewtjw,Roofing contractor,Roofing contractor|Construction company|Metal fabricator|General contractor|Steel fabricator,roofing company,ChIJmSvWrwg-3YgRD1IMYkewtjw
"American Restoration Contractors, LLC","4960 Lakeland Commerce Pkwy #6, Lakeland, FL 33805",Lakeland,Florida,33805,(888) 272-0163,+18882720163,https://www.arc-florida.com/,5,16,https://www.google.com/maps/search/?api=1&query=American%20Restoration%20Contractors%2C%20LLC&query_place_id=ChIJuWQjOjZB3YgR_tXQtl-Ohs8,Roofing contractor,Roofing contractor|Fire damage restoration service|General contractor|Water damage restoration service,roofing company,ChIJuWQjOjZB3YgR_tXQtl-Ohs8
Greenstar Panels,"1704 S Combee Rd, Lakeland, FL 33801",Lakeland,Florida,33801,(813) 860-8495,+18138608495,http://greenstarpanels.com/,4.2,42,https://www.google.com/maps/search/?api=1&query=Greenstar%20Panels&query_place_id=ChIJUVB_D6k_3YgRBIXPZrErCZc,Roofing contractor,Roofing contractor|Insulation contractor,roofing company,ChIJUVB_D6k_3YgRBIXPZrErCZc
Heartland Handyman Services LLC,"6297 Silver Leaf Ln, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 608-3573,+18636083573,,5,1,https://www.google.com/maps/search/?api=1&query=Heartland%20Handyman%20Services%20LLC&query_place_id=ChIJW5dD7NDqOYgR717iQ_poEf8,Roofing contractor,Roofing contractor|Insulation contractor|Painter|Handyman/Handywoman/Handyperson,roofing company,ChIJW5dD7NDqOYgR717iQ_poEf8
"1st Class Roofing, Inc.","1815 Thornhill Rd Ste 301S, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 324-4043,+18633244043,https://www.1stclassroofingincfl.com/,4.8,238,https://www.google.com/maps/search/?api=1&query=1st%20Class%20Roofing%2C%20Inc.&query_place_id=ChIJY3LRdvAV3YgRxAYUWWdAnbQ,Roofing contractor,Roofing contractor,roofing contractor,ChIJY3LRdvAV3YgRxAYUWWdAnbQ
Musick Roofing,"3600 County Line Rd, Lakeland, FL 33811",Lakeland,Florida,33811,(863) 904-5350,+18639045350,http://www.musickroofing.com/,4.9,240,https://www.google.com/maps/search/?api=1&query=Musick%20Roofing&query_place_id=ChIJX7-Mp6Y53YgRkDtPny6-kxc,Roofing contractor,Roofing contractor|Contractor|General contractor,roofing contractor,ChIJX7-Mp6Y53YgRkDtPny6-kxc
Eustis Roofing Company,"2500 Drane Field Rd Ste 103, Lakeland, FL 33811",Lakeland,Florida,33811,(863) 340-7653,+18633407653,http://eustisroofing.com/?utm_source=gbp&utm_medium=organic&utm_campaign=clw-na-gbp-con-all-all-all-reglr-current-reglr-na-na-gpb_listing_lkl,5,123,https://www.google.com/maps/search/?api=1&query=Eustis%20Roofing%20Company&query_place_id=ChIJjWdi4Wc53YgR2Rm1btQx9l4,Roofing contractor,Roofing contractor,roofing contractor,ChIJjWdi4Wc53YgR2Rm1btQx9l4
Five Points Roofing,"2587 Colonel Ford Dr, Lakeland, FL 33813",Lakeland,Florida,33813,(863) 660-5834,+18636605834,https://fivepointsroofingfl.com/,5,64,https://www.google.com/maps/search/?api=1&query=Five%20Points%20Roofing&query_place_id=ChIJx64HM7fcmCERr32qJoXMh-0,Roofing contractor,Roofing contractor,roofing contractor,ChIJx64HM7fcmCERr32qJoXMh-0
Protect Preserve Roofing,"559 Laura Rd, Lakeland, FL 33815",Lakeland,Florida,33815,(833) 777-6634,+18337776634,https://protectpreserveroofing.com/roofing-company-lakeland/,5,31,https://www.google.com/maps/search/?api=1&query=Protect%20Preserve%20Roofing&query_place_id=ChIJn3QjliWrk4gRE4tyS1sjQyk,Roofing contractor,Roofing contractor,roofing contractor,ChIJn3QjliWrk4gRE4tyS1sjQyk
Lakeland Roofing Installation,"3823 Old Salem Rd, Lakeland, FL 33811",Lakeland,Florida,33811,,,,4.9,37,https://www.google.com/maps/search/?api=1&query=Lakeland%20Roofing%20Installation&query_place_id=ChIJ4-N2SCg73YgRPsDW5v-OiVQ,Roofing contractor,Roofing contractor,roofing contractor,ChIJ4-N2SCg73YgRPsDW5v-OiVQ
Trimm Roofing,"2500 Drane Field Rd Ste 101, Lakeland, FL 33811",Lakeland,Florida,33811,(863) 276-6300,+18632766300,https://trimmroofing.com/,4.8,146,https://www.google.com/maps/search/?api=1&query=Trimm%20Roofing&query_place_id=ChIJ_XsINt853YgR5X-qaocSNfk,Roofing contractor,Roofing contractor,roofing contractor,ChIJ_XsINt853YgR5X-qaocSNfk
ROMEO'S ROOFING LLC,"1815 Thornhill Rd Ste 309T, Auburndale, FL 33823",Auburndale,Florida,33823,(863) 593-7808,+18635937808,http://romeosroofing.com/,4.6,34,https://www.google.com/maps/search/?api=1&query=ROMEO'S%20ROOFING%20LLC&query_place_id=ChIJ35nIQ65s3YgRst16aW0A6dc,Roofing contractor,Roofing contractor,roofing contractor,ChIJ35nIQ65s3YgRst16aW0A6dc
"Dempsey Roofing Company, Inc.","939 Browning Rd, Lakeland, FL 33811",Lakeland,Florida,33811,(800) 725-0716,+18007250716,http://dempseyroofing.com/,4.4,16,https://www.google.com/maps/search/?api=1&query=Dempsey%20Roofing%20Company%2C%20Inc.&query_place_id=ChIJHzrcvzA43YgRxlntqFRLUeg,Roofing contractor,Roofing contractor,roofing contractor,ChIJHzrcvzA43YgRxlntqFRLUeg
True Roofers,"2829 Badger Rd #19, Lakeland, FL 33811",Lakeland,Florida,33811,(863) 315-3003,+18633153003,https://trueroofers.com/lakeland?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lakeland-FL,4.4,22,https://www.google.com/maps/search/?api=1&query=True%20Roofers&query_place_id=ChIJ2QFlSFQ53YgRGC-aQ0FIgKw,Roofing contractor,Roofing contractor|Contractor|Gutter service,roofing contractor,ChIJ2QFlSFQ53YgRGC-aQ0FIgKw
