Company,Likely main contact (name),Contact source,Phone,Website,Facebook page,Address,City,Zip,Google rating,Google reviews,DBPR license #,DBPR status,Sunbiz status,Sources found in,Notes
Tropical Roofing Services,"CRISTO, KEVIN",DBPR qualifier,(863) 378-6889,https://www.tropicalroofingflorida.com/,,"1666 Delightful Dr, Davenport, FL 33896",Davenport,33896,4.8,29,CCC1333196,Active,,Maps+DBPR,
Ovando Roofing LLC,"EIZERE, FRANKE",DBPR qualifier,(407) 724-8717,http://ovandoroofing.com/,,"414 Monroe Ln, Haines City, FL 33844",Haines City,33844,5,27,CCC1336598,Active,,Maps+DBPR,
"Gator Roof Systems and Construction, Inc.",,unknown,(863) 216-6337,https://www.gatorroofsystems.com/,,"1111 6th St SW, Winter Haven, FL 33880",Winter Haven,33880,5,27,,,,Maps,
FL Commercial Roofing,,unknown,(863) 250-7060,https://flcommercialroofers.com/roofing-company-winter-haven-fl/,,"375 E Central Ave #5A, Winter Haven, FL 33881",Winter Haven,33881,5,26,,,,Maps,
EZ Roofing Systems,,unknown,(863) 875-1033,http://www.ezroofingsystems.com/,,"120 W Central Ave, Winter Haven, FL 33880",Winter Haven,33880,4.8,26,,,,Maps,
Haverty's Roof Cleaning,,unknown,(863) 944-6814,http://www.havertysroofcleaning.com/,,"2406 Fairmount Ave, Lakeland, FL 33803",Lakeland,33803,4.7,26,,,,Maps,
DCC Builders,,unknown,(863) 207-4900,https://dccbuilders.com/,,"209 E Bridgers Ave, Auburndale, FL 33823",Auburndale,33823,4.8,26,,,,Maps,
Remodeling FC,,unknown,(407) 613-4385,https://remodelingfcllc.com/,,"134 Mandovi St, Davenport, FL 33837",Davenport,33837,5,23,,,,Maps,
True Roofers,"PARKER, JERRY DUANE",DBPR qualifier,(863) 315-3003,https://trueroofers.com/lakeland?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lakeland-FL,,"2829 Badger Rd #19, Lakeland, FL 33811",Lakeland,33811,4.4,22,CCC1332725,Active,,Maps+DBPR,One of 2 Polk County branch locations for this company
"Wood's Roofing & Remodeling, LLC",,unknown,(863) 513-7775,https://www.woodsroofinglakeland.com/,,"1080 80 Foot Rd, Bartow, FL 33830",Bartow,33830,4.3,21,,,,Maps,
R F Lusa & Sons Sheet Metal,"LUSA, JOSEPH EUGENE; LUSA, ROBERT FRANCIS JR; LUSA, RYAN JEROME",DBPR qualifier,(863) 682-0798,http://rflusa.com/,,"1724 Fairbanks St, Lakeland, FL 33805",Lakeland,33805,4.5,21,CCC041323; CCC049380; CCC1333018,Active,,Maps+DBPR,
Charles mikell pressure washing and roof coating and handyman,,unknown,(603) 799-6125,,,"981 Ulmer Rd, Frostproof, FL 33843",Frostproof,33843,5,21,,,,Maps,
MARSHALL'S LLC ROOFING,"LYNN, WILLIAM M",DBPR qualifier,(863) 687-1893,https://marshallsllcroofing.com/,,"3326 W 10th St, Lakeland, FL 33810",Lakeland,33810,5,20,CCC1329573,Active,,Maps+DBPR,
Mc Enany Roofers,,unknown,(863) 588-4130,http://www.mcenanyroofing.com/contact-us/,,"5650 State Rd 557, Lake Alfred, FL 33850",Lake Alfred,33850,3.4,20,,,,Maps,
Quality Plus Roofing & Solar,"HAMMEN, JOHN T",DBPR qualifier,(813) 797-9590,https://qualityplusroofing-solar.com/,,"1012 W Beacon Rd Ste 102, Lakeland, FL 33803",Lakeland,33803,4.8,19,CCC1328493,Active,,Maps+DBPR,
CentiMark Corporation,,unknown,(863) 797-1900,https://www.centimark.com/locations/tampa-florida,,"4335 Frontage Rd N, Lakeland, FL 33810",Lakeland,33810,4.8,17,,,,Maps,
Menchaca Roofing,"MENCHACA, PAULINA",DBPR qualifier,(863) 412-1449,https://www.menchacaroofing.com/,,"118 E Stuart Ave Ste d, Lake Wales, FL 33853",Lake Wales,33853,5,16,CCC1332115,Active,,Maps+DBPR,
KTM Exteriors,,unknown,(863) 703-7004,https://ktmroofs.com/?utm_source=google&utm_medium=localpack&utm_campaign=gmb_traffic&utm_term=gmb_organic,,"3635 US-92, Lakeland, FL 33801",Lakeland,33801,5,16,,,,Maps,
"American Restoration Contractors, LLC","MOBLEY, AARON ROY",DBPR qualifier,(888) 272-0163,https://www.arc-florida.com/,,"4960 Lakeland Commerce Pkwy #6, Lakeland, FL 33805",Lakeland,33805,5,16,CCC1333324,Active,,Maps+DBPR,
"Dempsey Roofing Company, Inc.","DEMPSEY, BRYAN ALLEN",DBPR qualifier,(800) 725-0716,http://dempseyroofing.com/,,"939 Browning Rd, Lakeland, FL 33811",Lakeland,33811,4.4,16,CCC1326006,Active,,Maps+DBPR,
Belcher Contractors & Roofing Inc.,"BELCHER, JAMES NEWTON II",DBPR qualifier,(813) 770-5806,,,"4025 Timberwood Dr, Lakeland, FL 33811",Lakeland,33811,3.4,16,CCC1327309,Active,,Maps+DBPR,
A.O. Wagner Construction,"ATTERSON, MARK ALAN",DBPR qualifier,(863) 299-4444,https://aowagnerfl.com/,,"3535 Lake Alfred Rd, Winter Haven, FL 33881",Winter Haven,33881,4.6,15,CCC1329076,Active,,Maps+DBPR,
Rhodes Roof Cleaning,,unknown,(863) 660-2569,http://www.rhodesroofcleaning.com/,,"3126 Panther Dr, Lakeland, FL 33812",Lakeland,33812,4.6,15,,,,Maps,
RoofCare Plus,,unknown,(863) 450-5201,http://roofcareplus.com/,,"920 Magnolia Ave, Auburndale, FL 33823",Auburndale,33823,5,15,,,,Maps,
Squarebuilt Roofing & Construction,"BENTON, GROVER LEE JR",DBPR qualifier,(863) 372-8458,https://squarebuiltco.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-primary-link,,"2 N 1st St #209, Lake Wales, FL 33853",Lake Wales,33853,4.7,14,CCC1333979,Active,,Maps+DBPR,
A.O. Roofing Services,,unknown,(863) 656-4258,https://aoroofingservices.com/,,"3535 Lake Alfred Rd, Winter Haven, FL 33881",Winter Haven,33881,5,14,,,,Maps,
Sharrett Construction,"SHARRETT, DANIEL EASOM",DBPR qualifier,(863) 840-9781,https://sharrettconstruction.com/,,"124 W Main St, Lakeland, FL 33815",Lakeland,33815,4.1,13,CCC1336656,Active,,Maps+DBPR,
TRROOFING LLC,"TORRES RODRIGUEZ, JOSE LUIS",DBPR qualifier,(863) 557-8452,http://trroofingllc.com/,,"301 N 23rd St, Haines City, FL 33844",Haines City,33844,5,12,CCC1333097,Active,,Maps+DBPR,
5 Star Services of Polk County,,unknown,(863) 241-1400,,,"338 Recker Hwy, Auburndale, FL 33823",Auburndale,33823,4.7,12,,,,Maps,
Eagle Roofing Systems LLC,"SPAIN, DAVID LEE",DBPR qualifier,(863) 662-3166,http://www.eagleroofingsys.com/,,"16 Alabama Ln, Auburndale, FL 33823",Auburndale,33823,5,12,CCC1332430,Active,,Maps+DBPR,
S & S Roofing of Central Florida Inc,,unknown,(863) 209-2646,,,"4749 US-92 E, Lakeland, FL 33801",Lakeland,33801,3.3,12,,,,Maps,
"Del Wolf Roofing, LLC","LOPEZ, AMBROSIO III",DBPR qualifier,(833) 335-9653,https://www.delwolfroofing.com/,,"318 Hidden Lk Lp, Haines City, FL 33844",Haines City,33844,5,10,CCC1337360,Active,,Maps+DBPR,
Olympus Roofing,"NEWBERRY, JACOB AARON",DBPR qualifier,(863) 232-6941,http://olympusroofing.org/,,"1190 Old Lake Alfred Rd Unit 1206, Auburndale, FL 33823",Auburndale,33823,5,10,CCC1334872,Active,,Maps+DBPR,
High Tower Roofing,Robert E Sanger III (Officer/Registered Agent),Sunbiz officer,(863) 344-5334,https://www.hightowerroofing.com/?utm_campaign=gmb,https://www.facebook.com/HighTowerRoofing/,"524 S Combee Rd, Lakeland, FL 33801",Lakeland,33801,5,10,,,ACTIVE,Maps+Sunbiz,"Entity: High Tower Roofing & Contracting, LLC, doc# L12000070088. Address matches input.; One of 3 Polk County branch locations for this company"
Chisholm Trail Roofing & Construction Florida,,unknown,(813) 515-0449,,,"4953 Southfork Dr, Lakeland, FL 33813",Lakeland,33813,5,10,,,,Maps,
Bold Craft Roofers,,unknown,(863) 281-4386,https://sites.google.com/view/bold-craft-roofers/home,,"4900 Old Nichols Rd, Mulberry, FL 33860",Mulberry,33860,4.6,10,,,,Maps,
Harper Roofing Fl,,unknown,(863) 250-7663,https://harperroofingfl.com/,,"1420 Florida Ave S Ste 2, Lakeland, FL 33803",Lakeland,33803,5,8,,,,Maps,
Sharp Tone Roofers,,unknown,(863) 281-4463,https://sites.google.com/view/sharptoneroofers/home,,"2610 Eaton Ave, Lakeland, FL 33803",Lakeland,33803,5,8,,,,Maps,
Double J Roofing,"TYER, LINDA SUE",DBPR qualifier,(863) 858-7041,,,"7210 Elmer Dees Rd, Lakeland, FL 33810",Lakeland,33810,5,8,CCC057022,Active,,Maps+DBPR,
All American Professional Roofing,"CASHBAUGH, JOHN LAWRENCE III",DBPR qualifier,(863) 934-1000,http://allamericanproroofing.net/,,"559 Marklen Loop, Polk City, FL 33868",Polk City,33868,5,8,CCC1329579,Active,,Maps+DBPR,
Forrest and Sons Roofing,,unknown,(352) 348-9122,https://forrestandsonsroofing.com/,,"2400 Parakeet Park Blvd, Lake Wales, FL 33859",Lake Wales,33859,4.5,8,,,,Maps,
Alberson's Tile Roof Glaze,,unknown,(863) 949-6245,http://www.hydro-sheen.com/,,"39 W Crystal Ave, Lake Wales, FL 33853",Lake Wales,33853,5,7,,,,Maps,
Veterans Roofing & Property Maintenance,,unknown,(844) 824-0856,https://www.vetroofpm.com/,,"2770 Recker Hwy, Winter Haven, FL 33880",Winter Haven,33880,5,7,,,,Maps,
Color Verse Roofers,,unknown,(863) 509-5237,https://sites.google.com/view/colorverseroofers/home,,"511 Ave F NW, Winter Haven, FL 33881",Winter Haven,33881,5,7,,,,Maps,
"Barber & Associates, Commercial Roofing",,unknown,(813) 862-2015,https://barberjax.com/,,"4325 FL-60, Mulberry, FL 33860",Mulberry,33860,2.6,7,,,,Maps,
Solar Optimum Florida,,unknown,(800) 552-9970,https://solaroptimum.com/,,"3810 Drane Field Rd, Lakeland, FL 33811",Lakeland,33811,5,7,,,,Maps,
Bennett Construction & Roofing,"BENNETT, KENNETH ANDREW",DBPR qualifier,(863) 293-2512,http://www.bennettconstructionandroofing.com/,,"1211 6th St SW, Winter Haven, FL 33880",Winter Haven,33880,4.3,6,CCC057758,Active,,Maps+DBPR,
Bartow Roofing Experts,,unknown,(863) 312-7110,,,"510 E Main St, Bartow, FL 33830",Bartow,33830,5,6,,,,Maps,
Stormwall Roofing,,unknown,(863) 937-9774,https://stormwallroofing.com/,,"1065 Florida Ave S, Lakeland, FL 33803",Lakeland,33803,5,5,,,,Maps,
Archer Exteriors,"GASIEWSKI, ROBERT S",DBPR qualifier,(863) 644-8516,https://www.archerexteriors.com/,,"2500 Drane Field Rd Ste 108, Lakeland, FL 33811",Lakeland,33811,3.4,5,CCC1330951,Active,,Maps+DBPR,
A-Squared Construction & Roofing Company LLC.,,unknown,(863) 508-5740,https://topusafacts.top/details/asquared-construction-roofing-company-llc-ChIJ28U,,"20 Lake Eloise Ln, Winter Haven, FL 33884",Winter Haven,33884,5,4,,,,Maps,
"RSM Builders, Inc.","MANN, RICHARD ALLEN SR",DBPR qualifier,(863) 589-5994,https://www.rsmbuilders.com/,,"107 W Orange Ave, Lake Wales, FL 33853",Lake Wales,33853,4,4,CCC1331172,Active,,Maps+DBPR,
DBS Handyman Services & Roofing,,unknown,(863) 514-2984,https://m.facebook.com/DBSrenovations/,,"1455 Country Oaks Blvd, Lake Wales, FL 33898",Lake Wales,33898,5,4,,,,Maps,
Milam Roofing Co,"MILAM, WILLIE B JR",DBPR qualifier,(863) 967-1470,http://melgiannotti31.wix.com/mysite,,"Old Auburndale Rd, Auburndale, FL 33823",Auburndale,33823,4,4,CCC1327097,Active,,Maps+DBPR,
High Tower Roofing,Robert E Sanger III (Officer/Registered Agent),Sunbiz officer,(863) 400-3196,https://www.hightowerroofing.com/,https://www.facebook.com/HighTowerRoofing/,"65 3rd St NW, Winter Haven, FL 33881",Winter Haven,33881,5,4,,,ACTIVE,Maps+Sunbiz,"Entity: High Tower Roofing & Contracting, LLC, doc# L12000070088. Address matches input.; One of 3 Polk County branch locations for this company"
DMAV Roofing Contractor Of Lakeland,,unknown,(321) 966-2232,,,"1712 Atlanta Ct, Lakeland, FL 33803",Lakeland,33803,4,4,,,,Maps,
Robert Peet Roofing & Remodeling,"PEET, ROBERT RICHARD",DBPR qualifier,(863) 967-7530,,,"116 N Pointe Dr, Auburndale, FL 33823",Auburndale,33823,4,4,CCC1325678,Active,,Maps+DBPR,
Honor and Pride Roofing and Construction,,unknown,(863) 277-6632,https://www.honorandprideroofing.com/,,"936 E Parker St Suite 16, Lakeland, FL 33801",Lakeland,33801,5,4,,,,Maps,
All American Roofing Group Contractors,,unknown,(863) 409-1636,,,"2424 Cresap St, Lakeland, FL 33815",Lakeland,33815,4,4,,,,Maps,
Guy's Roofing & Sheet Metal,,unknown,(863) 341-6030,,,"2820 Thornhill Rd, Winter Haven, FL 33880",Winter Haven,33880,4,4,,,,Maps,
S&L ROOFING,,unknown,(863) 605-9585,https://sites.google.com/view/slroofing/home,,"12395 Tupelo Ln, Lake Wales, FL 33898",Lake Wales,33898,5,3,,,,Maps,
Florida First Roofing,,unknown,(863) 451-8515,,,"3187 US Hwy 98 N, Lakeland, FL 33805",Lakeland,33805,5,3,,,,Maps,
Weathertek Roofing and Concrete,,unknown,(863) 290-7643,https://weathertekroofingfl.com/,,"304 E Pine St, Lakeland, FL 33801",Lakeland,33801,5,3,,,,Maps,
Aura Edge Roofers,,unknown,(863) 867-1973,https://sites.google.com/view/aura-edge-roofers/home,,"105 N Kentucky Ave, Lakeland, FL 33801",Lakeland,33801,5,3,,,,Maps,
Wholesale Metal Roofing,"HUDSON, DAVID ALLEN",DBPR qualifier,(866) 863-7122,https://polkcountymetalroofs.com/,,"2225 E Main St, Lakeland, FL 33801",Lakeland,33801,5,3,RC29027985,Active,,Maps+DBPR,
Turbeville Roofing,,unknown,(863) 648-4416,http://turbevilleroofing.com/,,"2149 Emerald Ridge Dr, Lakeland, FL 33813",Lakeland,33813,5,3,,,,Maps,
"AP Construction, LLC",,unknown,(800) 513-6296,,,"330 Winston Creek Pkwy Unit F, Lakeland, FL 33810",Lakeland,33810,2.3,3,,,,Maps,
1st Class Roofing Inc.,"ROBERTS, DOVONNA JENELL",DBPR qualifier,(863) 875-3952,http://1stclassroofingincfl.com/,,"5610 Lake Fox Cir, Winter Haven, FL 33884",Winter Haven,33884,2.5,2,CCC1327267,Active,,Maps+DBPR,
Harrison Roofing,"HARRISON, ROY G",DBPR qualifier,(863) 965-8513,,,"321 Orange St, Auburndale, FL 33823",Auburndale,33823,3,2,CCC1332516,Active,,Maps+DBPR,
Lakeland Roofing Solutions,,unknown,(407) 490-2459,http://www.lakelandroofingsolutions.com/,,"304 E Pine St #1211, Lakeland, FL 33801",Lakeland,33801,5,2,,,,Maps,
Complete Roofing and Construction,"STANLEY, KENNETH JEFFREY",DBPR qualifier,(863) 583-4963,https://www.owenscorning.com/en-us/roofing/contractors/contractor-profile/215587,,"4411 US-92, Lakeland, FL 33801",Lakeland,33801,5,2,CCC1330272,Active,,Maps+DBPR,
florida state certified roofing,,unknown,(863) 777-1027,,,"6021 Florida Ave S, Lakeland, FL 33813",Lakeland,33813,5,2,,,,Maps,
T. GREGORY CONSTRUCTION | Construction Company Winter haven | Fencing Company | Roofing Expert,,unknown,(863) 294-6003,https://tgcbuilds.com/,,"2204 2nd St NE, Winter Haven, FL 33881",Winter Haven,33881,5,2,,,,Maps,
Rodney Weeks Construction,,unknown,(863) 646-4373,,,"4250 Clubhouse Rd, Lakeland, FL 33812",Lakeland,33812,1,2,,,,Maps,
Milco Construction Inc Of Florida,,unknown,(863) 709-0293,http://www.milcoconstruction.com/,,"4310 Wallace Rd, Lakeland, FL 33812",Lakeland,33812,5,2,,,,Maps,
Florida Roofing,,unknown,(407) 269-7233,,,"1224 Chelsea Dr, Davenport, FL 33897",Davenport,33897,3.5,2,,,,Maps,
Harrison Roofing Inc.,,unknown,(863) 514-0385,,,"6094 Topher Trail, Mulberry, FL 33860",Mulberry,33860,1,1,,,,Maps,
Lakeland Roofing Guys,,unknown,(863) 591-8826,http://www.roofing-lakeland.com/,,"1637 Shepherd Rd, Lakeland, FL 33811",Lakeland,33811,5,1,,,,Maps,
Lakeland Roofing Consultants,,unknown,(863) 279-4604,https://lakelandroofingconsultants.com/,,"825 E Main St #210, Lakeland, FL 33801",Lakeland,33801,5,1,,,,Maps,
"Paradise Roofing & General Contracting, LLC","HIPPLE, RYAN S",DBPR qualifier,(863) 213-4028,https://www.anotherdayinparadisefl.com/contact-us,,"240 Old Bartow Eagle Lake Rd, Bartow, FL 33830",Bartow,33830,5,1,CCC1332339,Active,,Maps+DBPR,
BNF Roofing,,unknown,(863) 250-2567,https://bnfroofing.com/lakeland-fl/,,"110 S Lake Ave #2, Lakeland, FL 33801",Lakeland,33801,5,1,,,,Maps,
Polk Roofing,,unknown,(863) 225-4599,,,"6000 Florida Ave S #7638, Lakeland, FL 33813",Lakeland,33813,1,1,,,,Maps,
Heartland Handyman Services LLC,,unknown,(863) 608-3573,,,"6297 Silver Leaf Ln, Lakeland, FL 33813",Lakeland,33813,5,1,,,,Maps,
North American Roofing,,unknown,(863) 577-6631,,,"206 Easton Dr #101, Lakeland, FL 33803",Lakeland,33803,5,1,,,,Maps,
Roof Asset Management,,unknown,(863) 701-2742,http://roof-asset.com/,,"1050 Reflections Lake Dr, Lakeland, FL 33813",Lakeland,33813,5,1,,,,Maps,
Fred Fein Construction & Roofing Inc.,,unknown,(321) 412-0037,,,"541 Brookeshire Dr, Davenport, FL 33837",Davenport,33837,5,1,,,,Maps,
S & S Roofing,,unknown,,,,"33 Bass St, Haines City, FL 33844",Haines City,33844,1,1,,,,Maps,
Westlake roofing,,unknown,,,,"200 Story Rd, Lake Wales, FL 33898",Lake Wales,33898,5,1,,,,Maps,
Jurin Roofing Services Inc.,"JURIN, CHRISTOPHOR JUSTIN; JURIN, ERIC WILLIAM",DBPR qualifier,(863) 422-3176,https://www.jurinroofingflorida.com/,,"29716 US-27, Dundee, FL 33838",Dundee,33838,,,CCC1325665; CCC1333447,Active,,Maps+DBPR,
Roofing Contractors Lakeland,,unknown,(863) 431-8550,,,"2901 Brooks St, Lakeland, FL 33803",Lakeland,33803,,,,,,Maps,
ROOF REPAIR TECH LLC,,unknown,(863) 437-4502,http://roofingcompany.lol/,,"6237 Ashley Dr, Lakeland, FL 33813",Lakeland,33813,,,,,,Maps,
Valor Roofing Company,,unknown,(863) 282-2428,https://valorroofingcompany.com/locations/lakeland-fl/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=lakeland-fl,,"500 Florida Ave S 4th floor ste 487, Lakeland, FL 33801",Lakeland,33801,,,,,,Maps,
Highpoint Roofing,,unknown,,,,"1107 3rd St SW, Winter Haven, FL 33880",Winter Haven,33880,,,,,,Maps,
Roofers of Lakeland FL,,unknown,(863) 265-1655,https://roofers-of-lakeland-fl.ueniweb.com/?utm_campaign=gmb,,"5216 Florida Ave S, Lakeland, FL 33813",Lakeland,33813,,,,,,Maps,
"Providential Roofing and Construction, Inc.",,unknown,(863) 315-0664,https://providentialroofing.com/,,"1137 Bartow Rd Ste 205, Lakeland, FL 33801",Lakeland,33801,,,,,,Maps,
Brenneman Roofing,,unknown,(863) 409-8735,https://brennemanconstruction.com/roofing,,"211 E Main St Ste 109A, Lakeland, FL 33801",Lakeland,33801,,,,,,Maps,
Advanced Roofing,"BAILEY, TROY S",DBPR qualifier,(863) 603-0888,,,"330 Winston Creek Pkwy, Lakeland, FL 33810",Lakeland,33810,,,CCC1331178,Active,,Maps+DBPR,
HD Roofing & Solar,,unknown,(863) 213-6276,https://hdroofers.com/,,"3053 Drane Field Rd, Lakeland, FL 33811",Lakeland,33811,,,,,,Maps,
Huntington Roofing,,unknown,(863) 667-1275,,,"3375 US Hwy 98 N, Lakeland, FL 33809",Lakeland,33809,,,,,,Maps,
Lakeland Roof Coatings,,unknown,(863) 859-9316,,,"7220 US Hwy 98 N, Lakeland, FL 33809",Lakeland,33809,,,,,,Maps,
RoofWire Roofing LLC,,unknown,(239) 508-6262,,,"535 Bracey Rd, Lakeland, FL 33809",Lakeland,33809,,,,,,Maps,
Specializing In Installation of Light Gauge Metal Trusses and Metal Roof Deck,,unknown,(863) 281-6565,,,"1432 Banana Rd, Lakeland, FL 33810",Lakeland,33810,,,,,,Maps,
ROOFING BY KK LLC,,unknown,,,,"306 Briar Patch Lp, Davenport, FL 33896",Davenport,33896,,,,,,Maps,
Carry On Roofing LLC,,unknown,(317) 755-8601,http://carryonroofing.com/,,"111 Via Del Sol Dr, Davenport, FL 33896",Davenport,33896,,,,,,Maps,
United Exterior Building Dreams Inc.,,unknown,(224) 522-6930,https://www.unitedexterior.net/,,"326 Chelsea Dr, Davenport, FL 33897",Davenport,33897,,,,,,Maps,
True Roofers,,unknown,(863) 968-2049,https://trueroofers.com/auburndale?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Auburndale-FL,,"1627 US-92, Auburndale, FL 33823",Auburndale,33823,,,,,,Maps,One of 2 Polk County branch locations for this company
SRC Florida,,unknown,(863) 797-9893,,,"2161 Co Rd 540A #105, Lakeland, FL 33813",Lakeland,33813,,,,,,Maps,
PR&R Construction Inc.,,unknown,,,,"851 Saddle Oaks Dr, Winter Haven, FL 33880",Winter Haven,33880,,,,,,Maps,
ICON Roofing & Construction,,unknown,(863) 345-4266,,,"1901 Shepherd Rd, Lakeland, FL 33811",Lakeland,33811,,,,,,Maps,
"ASR Associates, Inc.",,unknown,(863) 619-9776,,,"Lakeland, FL 33807",Lakeland,33807,,,,,,Maps,
Roofnova Solution,,unknown,(224) 641-6909,,,"366 Lake Daisy Cir, Winter Haven, FL 33884",Winter Haven,33884,,,,,,Maps,
Roofing RVS INC,,unknown,(863) 614-6974,,,"5145 Creekview Ln, Lakeland, FL 33811",Lakeland,33811,,,,,,Maps,
AMX ROOFER,,unknown,(863) 934-9993,,,"1605 E Memorial Blvd, Lakeland, FL 33801",Lakeland,33801,,,,,,Maps,
American Quality Roofing,,unknown,(863) 400-3203,https://americanqualityroofing.com/contact/,,"304 E Pine St #1085, Lakeland, FL 33801",Lakeland,33801,,,,,,Maps,
Permatile Roofing,,unknown,(800) 394-5952,https://www.advaluminum.com/permatile-metal-roofing/,,"2941 Parkway St, Lakeland, FL 33811",Lakeland,33811,,,,,,Maps,
FISHER & FLOYD ROOFING & SHEET,"FLOYD, WILLIAM BRUCE",DBPR qualifier,,,,P.O. BOX 223,Lake Wales,33859,,,CCC053258,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
PRICE CONSTRUCTION & ROOFING INC,"PRICE, RALPH W",DBPR qualifier,,,,555  FIRST AVENUE SOUTH,Bartow,33830,,,CCC021386,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
GUY'S DIVERSIFIED INC,"GUY, MICHAEL ALAN; OBERMARK, DANIELLE MARIE",DBPR qualifier,,,,PO BOX 946,Auburndale,33823,,,CCC048175; CCC1328643,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
STATEWIDE ROOFING/SHEETMETAL INC,"JAMES, CURTISS DELL",DBPR qualifier,,,,P O BOX 2781,Lakeland,33806,,,CCC049375,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
THOMAS SMITH & COMPANY,"SMITH, THOMAS C",DBPR qualifier,,,,3828 KNIGHTS STATION RD,Lakeland,33810,,,CCC022484,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
CLYDE TYER ROOFING CO,"TYER, MARGARET K",DBPR qualifier,,,,10311 HUNTER TRAIL,Lakeland,33809-1157,,,RC0049844,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
TOP QUALITY ROOFING COMPANY,"SANDBRINK, ANGELA C",DBPR qualifier,,,,310  HONEY BEE,Polk City,33868,,,CCC057500,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
IMPERIAL ROOFING OF POLK COUNTY INC,"HARP, DONALD AARON",DBPR qualifier,,,,5596 COMMERCIAL BLVD,Winter Haven,33880-1008,,,CCC057981,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
SEMCO CONSTRUCTION INC,"LOCKE, CARL EDWARD JR",DBPR qualifier,,,,205 CENTURY BLVD,Bartow,33830,,,CCC056927,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
WALTER GRAVES CONSTRUCTION AND ROOFING LLC,"GRAVES, WALTER ROY",DBPR qualifier,,,,1887 MOUNT PISGAH ROAD,Fort Meade,33841,,,RC0067120,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
ABCAN ASSOCIATES INC,"TANCREDI, JEFF",DBPR qualifier,,,,109  COVINGTON COVE SE,Winter Haven,33880,,,CCC058155,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
"GILCO ROOFING, INC","GILILEO, LARRY DOYLE JR",DBPR qualifier,,,,132 BURNING BUSH CV,Auburndale,33823,,,CCC058181,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
C.F. MCFADDEN JR LLC,"MCFADDEN, CHARLES FRANKLIN JR",DBPR qualifier,,,,3210 BONNYBROOK DRIVE SOUTH,Lakeland,33811,,,CCC1325542,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
STETTINIUS CONSTRUCTION INC,"STETTINIUS, MICHAEL RAINES",DBPR qualifier,,,,452 LAKE DAISY DRIVE,Winter Haven,33884,,,CCC1325707,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
FLORIDA EXTERIOR COATING INC,"GUENTHER, KEVIN J",DBPR qualifier,,,,540 HIGHWAY 17 SOUTH,Eagle Lake,33839,,,CCC1325573,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
DRYGUARD ROOFING & WEATHERPROOFING LLC,"ROY, GARY JOHN II",DBPR qualifier,,,,7721 N. SOCRUM LOOP ROAD,Lakeland,33809,,,CCC1336837,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
RAY'S ROOFING OF CENTRAL FLORIDA INC,"RAY, GARY D",DBPR qualifier,,,,807 BRADDOCK RD,Auburndale,33823,,,CCC1325843,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
TIM RINER CONSTRUCTION INC,"RINER, TIMOTHY MICHAEL",DBPR qualifier,,,,200 WGTO TOWER RD,Lake Alfred,33850,,,CCC1325781,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
A OLD TIME ROOFING,"BURNSIDE, BLAKE ALLEN",DBPR qualifier,,,,1369  CHAMPION DR,Lakeland,33801,,,CCC1327304,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
"S & S ROOFING OF POLK COUNTY, INC.","SASSER, KENNETH E JR",DBPR qualifier,,,,33 BASS STREET,Haines City,33844,,,CCC1326020,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
HUTTO CONSTRUCTION INC,"HUTTO, JIMMY L",DBPR qualifier,,,,PO BOX 728,Frostproof,33843,,,CCC1326158,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
KL SMITH INC,"SMITH, RYAN",DBPR qualifier,,,,7140 S CARTER ROAD,Lakeland,33813,,,CCC1326241,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
"UNITED FABRICATION & MAINTENANCE, INC.","ALBRITTON, LARRY LAMAR II",DBPR qualifier,,,,2417 FUSSELL ROAD,Polk City,33868,,,CCC1326515,Active,,DBPR,"DBPR-only record, not found on Google Maps - verify still operating"
